date,Rp_vw_matched
2014-01-31,-0.035770512513487264
2014-02-28,0.05454531230691899
2014-03-31,0.007338379437153706
2014-04-30,0.016104976612195294
2014-05-30,0.01599399945829979
2014-06-30,0.011418271066762742
2014-07-31,-0.0231535390336158
2014-08-29,0.024779891169325597
2014-09-30,-0.023330708779326262
2014-10-31,0.005073333236336013
2014-11-28,0.027318189809462576
2014-12-31,-0.017741200115941887
2015-01-30,-0.022821757335786293
2015-02-27,0.05684566872780131
2015-03-31,-0.018859432862591542
2015-04-30,0.022249030774216277
2015-05-29,0.002831515675653461
2015-06-30,-0.023875411036173803
2015-07-31,0.01946645483863534
2015-08-31,-0.06357521645946342
2015-09-30,-0.03016114030977426
2015-10-30,0.0750400114940843
2015-11-30,-0.005108648960917371
2015-12-31,-0.023185206066229466
2016-01-29,-0.052584655283981846
2016-02-29,-0.008080580738146293
2016-03-31,0.07047631280658936
2016-04-29,0.013367489558860707
2016-05-31,0.006698304027420465
2016-06-30,-0.013893102121867985
2016-07-29,0.03699167377019543
2016-08-31,0.0024113743984470796
2016-09-30,0.002303754653222834
2016-10-31,-0.020720616354918224
2016-11-30,0.018493520273400444
2016-12-30,0.033428759875490224
2017-01-31,0.01579079678590859
2017-02-28,0.02849368036018528
2017-03-31,0.013887842059285524
2017-04-28,0.018238709287849847
2017-05-31,0.02638858553111264
2017-06-30,0.0022853064133741205
2017-07-31,0.022374302783254963
2017-08-31,0.002320531094638466
2017-09-29,0.02798469692711961
2017-10-31,0.018964699222094292
2017-11-30,0.02219440753545124
2017-12-29,0.013188627181094342
2018-01-31,0.04951854951058411
2018-02-28,-0.04697952215496938
2018-03-30,-0.018031564725561652
2018-04-30,0.012532955245399833
2018-05-31,0.0014334158519009894
2018-06-29,0.00017561072975406087
2018-07-31,0.038629047104049574
2018-08-31,0.009282364470501778
2018-09-28,0.006687449972547056
2018-10-31,-0.06415494549843369
2018-11-30,0.010860947997510889
2018-12-31,-0.0782525944888428
2019-01-31,0.07601880736345282
2019-02-28,0.03326508083451734
2019-03-29,0.014611056514527536
2019-04-30,0.037367305090635405
2019-05-31,-0.06031773285553564
2019-06-28,0.07037611028866847
2019-07-31,0.004232136050635942
2019-08-30,-0.01863150016493169
2019-09-30,0.025227325381092916
2019-10-31,0.022422272425249773
2019-11-29,0.029935004424383745
2019-12-31,0.03494468677736481
2020-01-31,-0.009580265949088524
2020-02-28,-0.08797898081148298
2020-03-31,-0.13080669649169346
2020-04-30,0.10748103704747755
2020-05-29,0.0413752529773503
2020-06-30,0.02845650493639375
2020-07-31,0.04855802608730216
2020-08-31,0.06532016015046785
2020-09-30,-0.038050923974954055
2020-10-30,-0.036113016737889136
2020-11-30,0.12829349721377706
2020-12-31,0.03999442909790919
2021-01-29,-0.012124007331862908
2021-02-26,0.027184895601140326
2021-03-31,0.045538078953280305
2021-04-30,0.05015384419243927
2021-05-31,0.02004461869352471
2021-06-30,0.008799480188670751
2021-07-30,0.01900643546048637
2021-08-31,0.022809477248532994
2021-09-30,-0.04504118209036154
2021-10-29,0.06365169045662121
2021-11-30,-0.01497908900185944
2021-12-31,0.053122676287483496
2022-01-31,-0.041015657477753764
2022-02-28,-0.024563135162457533
2022-03-31,0.027333885519398866
2022-04-29,-0.07211542540983637
2022-05-31,0.0058285931806358144
2022-06-30,-0.08581391069988069
2022-07-29,0.07852563312570736
2022-08-31,-0.04322832629068845
2022-09-30,-0.09154355690542201
2022-10-31,0.08700435521302291
2022-11-30,0.07010087084351585
2022-12-30,-0.04154886180304466
2023-01-31,0.06616089743523373
2023-02-28,-0.022416760658456096
2023-03-31,0.03105630153266999
2023-04-28,0.026480499134773877
2023-05-31,-0.018669449685005883
2023-06-30,0.06094144353749972
2023-07-31,0.029251266988687623
2023-08-31,-0.02269394270466807
2023-09-29,-0.045984907257914646
2023-10-31,-0.022008882903338915
2023-11-30,0.0901172177167901
2023-12-29,0.04518190282003032
2024-01-31,0.012454187462387786
2024-02-29,0.038904727705391946
2024-03-29,0.03639535708529829
2024-04-30,-0.03595170631826909
2024-05-31,0.05154482744255455
2024-06-28,0.01638155411222831
2024-07-31,0.016779200321910822
2024-08-30,0.02675155037875989
2024-09-30,0.014762153454786181
2024-10-31,-0.022222986900618705
2024-11-29,0.04139861312543476
2024-12-31,-0.03239862643595899
2025-01-31,0.03074400383563204
2025-02-28,0.005367144218395816
2025-03-31,-0.039298236221511754
2025-04-30,-0.0005247469523558777
2025-05-30,0.050329917534095304
2025-06-30,0.043502359530888025
2025-07-31,0.016882983794590505
2025-08-29,0.024087630318759275
2025-09-30,0.027564596861919095
2025-10-31,0.023093448012390248
2025-11-28,0.007837823610983091
2025-12-31,0.014888688257605656
