Year,WACI_MVP,WACI_MVP05,CF_MVP,CF_MVP05,WACI_change_%,CF_change_%
2013,1366.2395704489081,651.4123681920773,639.6445556396939,319.82227781172946,-52.32078017049078,-50.00000000126905
2014,1145.7932641107836,554.8318503071094,463.12975964307253,231.5648014796335,-51.57661790430422,-50.000016915756575
2015,1053.244827839557,522.0213924626215,472.9887248526675,236.4943624036713,-50.43684253988645,-50.000000004791325
2016,820.0523396134141,409.8390005770891,316.90100364644053,158.45050182321143,-50.02282405897485,-50.000000000002785
2017,831.7247109666731,402.11782103875083,342.2076415569369,171.10382021140427,-51.652534097323034,-50.000000165707625
2018,942.5935762773317,476.60362541852675,431.70366100566014,215.8518304561572,-49.436996239586136,-50.00000001081133
2019,618.2227697644996,305.40093994220166,229.72643488510712,114.86321744255069,-50.600179275419045,-50.00000000000124
2020,602.480640549872,309.65896070992915,241.1710948716245,120.58554743581101,-48.60267038168901,-50.00000000000051
2021,439.6089717911307,248.29072238684583,134.3400942691641,67.17004713458226,-43.52009664970738,-49.999999999999844
2022,250.43513074466318,125.80488004780852,89.58240058080416,44.791200290401854,-49.76548231323194,-50.000000000000256
2023,183.05095905099898,90.55312112397388,86.47624008456509,43.23812004228205,-50.531195469593094,-50.000000000000576
2024,177.43562910464465,69.23156523110119,80.89670567807751,40.448352839038265,-60.982151341052756,-50.0000000000006
