Year,Rank,ISIN,Company,CI (tCO2/$M rev),P(mv)_oos,P(mv)_oos(0.5),P(vw),P(vw)_oos(0.5)
2013,1,US8425871071,SOUTHERN,7316.925681804439,0.044702775365975014,0.017590689261417283,0.001613706529567118,0.0007304382358310604
2013,2,US92939U1060,WEC ENERGY GROUP,7194.329314242653,0.03577852915624098,0.010487806321631092,0.00041394261032099284,0.0
2013,3,US69351T1060,PPL,2635.6785742637135,0.026863888485716136,0.02028534184033953,0.0008383939048644867,0.0005730570644613971
2013,4,US75281A1097,RANGE RES.,1612.0512482854847,0.014334107130282997,0.01406093691834069,0.0006090497069175798,0.0006463103001747271
2013,5,US2091151041,CONSOLIDATED EDISON,275.8450935346242,0.055027122964962,0.06582690921524124,0.0007157053591499801,0.00102341349115921
2013,6,US6516391066,NEWMONT,455.0060802594244,0.029496647199188212,0.02964094215533711,0.000501946265297328,0.0005073923201300879
2013,7,US69331C1080,PG&E,250.66489361702128,0.028329528917535502,0.03558729317448105,0.0007999918759600338,0.0010624049689772733
2013,8,US30231G1022,EXXON MOBIL,320.88307020921576,0.012692530920719005,0.013557627813200657,0.019392502986208187,0.02036739379387306
2013,9,GB0002670437,DEVRO DEAD - DELIST.14/04/23,208.9231750146884,0.0167855294373762,0.017047397819053785,3.516627538118266e-05,0.0
2013,10,US4943681035,KIMBERLY-CLARK,104.44855908465081,0.022990376681661324,0.025264430044601285,0.0017583738868841559,0.0019028305767364528
2014,1,US8425871071,SOUTHERN,7081.40691753965,0.05104060957577776,0.025942261352370807,0.0019361987034042347,0.0012063291484279571
2014,2,US92939U1060,WEC ENERGY GROUP,6585.970347421996,0.00918575456616187,0.0,0.000517573097258693,1.3875928216679357e-18
2014,3,US26441C2044,DUKE ENERGY,5480.120334986585,0.009487681086466755,0.0,0.002570191783087197,0.0020105652309722498
2014,4,US69351T1060,PPL,2800.786263109321,0.016372236362989356,0.008509860429261565,0.0010526715071983834,0.0008460519020792338
2014,5,GB00B03HDJ73,ESKEN LIMITED DEAD - DELIST.02/04/24,1312.846482898851,0.01103717077285529,0.00814486335320999,2.430863088603274e-05,2.4997137816543343e-18
2014,6,US2091151041,CONSOLIDATED EDISON,259.3491986401166,0.05361760987838512,0.061465667712193216,0.0008413229290698908,0.0010856221048056397
2014,7,US75281A1097,RANGE RES.,1189.2462449235995,0.011169727590569771,0.010027454450657919,0.00039238850026118667,0.00037298079117998077
2014,8,US6516391066,NEWMONT,492.6700312424898,0.02654954082359796,0.026687839828722006,0.0004102380092510596,0.0003761804114180747
2014,9,GB00B572ZV91,PHAROS ENERGY,582.4645424473165,0.012266315244077949,0.012136656286606087,6.83379709339715e-05,0.0
2014,10,US94106L1098,WASTE MANAGEMENT,1319.2801258671243,0.004955724717147988,0.0,0.0010226544102991575,0.0008240133529677843
2015,1,US8425871071,SOUTHERN,6552.2282991281745,0.04700229133496805,0.018705858335652047,0.0019317502994000751,0.00116121356475393
2015,2,US26441C2044,DUKE ENERGY,5634.273772204807,0.00597825142137389,0.0,0.0022320167936808596,0.0015091923790832458
2015,3,US75281A1097,RANGE RES.,1066.810540029385,0.020295465909956133,0.01820727749256614,0.00018932581355682364,8.052648768779397e-05
2015,4,US69351T1060,PPL,2369.5435189518016,0.0073436466562871025,0.0008656024461240927,0.001043073413561733,0.0008382756930069011
2015,5,US6516391066,NEWMONT,521.1190345584201,0.02969296011060391,0.03069907824511407,0.00043236096824056635,0.00041756637464290304
2015,6,US2091151041,CONSOLIDATED EDISON,246.45870423407385,0.05450561737429726,0.06154925890375261,0.0008559019511454552,0.0010745408773480082
2015,7,US92939U1060,WEC ENERGY GROUP,6250.225130575734,0.0017412260282628157,0.0,0.0007357274934161906,0.0003149534460436765
2015,8,US69331C1080,PG&E,286.7173785839672,0.02196695434683744,0.02672464354146696,0.0011849262851397915,0.0013549351836108499
2015,9,GB00B572ZV91,PHAROS ENERGY,901.7972934358125,0.006100056390398832,0.00477498058642502,3.272406239102284e-05,0.0
2015,10,US30231G1022,EXXON MOBIL,312.53169866461235,0.012031228767175918,0.012100914192522728,0.014739386452841006,0.014919547031902286
2016,1,US8425871071,SOUTHERN,5940.8771227628795,0.04047213916801067,0.014191948104223692,0.0020668254040746964,0.0013587852523921095
2016,2,US92939U1060,WEC ENERGY GROUP,4903.393462817029,0.004891414528698903,0.0,0.0007936518828729632,0.0003479622213270761
2016,3,GB00B572ZV91,PHAROS ENERGY,1823.7946823276054,0.006793918175190679,0.004574350132607152,2.8050359805996315e-05,1.8033612494042357e-05
2016,4,US2091151041,CONSOLIDATED EDISON,246.3756571610642,0.04976687868258093,0.05553012393407861,0.000962637036071422,0.0012272947856343285
2016,5,US30231G1022,EXXON MOBIL,443.3934377771209,0.026051814023903486,0.024718712830476063,0.016047160488903554,0.016075099983139458
2016,6,US6516391066,NEWMONT,349.33367835425025,0.027909121204058,0.027559990110531188,0.0007752886383374592,0.0008799801529613929
2016,7,US69331C1080,PG&E,234.6533594724648,0.023797750030761757,0.02806866386240093,0.0013175128463682913,0.0015155936681044212
2016,8,US75281A1097,RANGE RES.,358.8758267721866,0.006838492530474933,0.005837426303084659,0.00036408830236631535,0.00033028048812999933
2016,9,US1344291091,THE CAMPBELL S COMPANY,50.401025384519194,0.026492718434740287,0.02631340420393547,0.0007960730185697176,0.000879163405333002
2016,10,US9311421039,WALMART,12.672930537406923,0.08367060193545373,0.08686637188310666,0.009107401832040155,0.009267586412860783
2017,1,US8425871071,SOUTHERN,4902.206574185766,0.042508238524460694,0.021664209532153898,0.0016976389708925619,0.0007876816542851838
2017,2,US26441C2044,DUKE ENERGY,5927.098447874071,0.005565046478502657,0.0,0.002070773899566097,0.0009953487102763174
2017,3,US92939U1060,WEC ENERGY GROUP,3987.2596121676056,0.005887296580662851,0.0,0.0007373702075756185,0.0002120131132215546
2017,4,GB00B572ZV91,PHAROS ENERGY,2562.298324138649,0.00497017817529968,0.0020357589905488165,1.7611120243728028e-05,0.0
2017,5,US30231G1022,EXXON MOBIL,506.28297167853054,0.022994694314958777,0.02144684958702917,0.012465257062739654,0.01241945587307958
2017,6,US69331C1080,PG&E,242.36380618136533,0.0473219164838955,0.053130972666171984,0.000811160762705768,0.0009610062547667774
2017,7,US2091151041,CONSOLIDATED EDISON,249.68944099378882,0.04366723977910314,0.05092531885930232,0.0009264872376134517,0.0011734929697289104
2017,8,US6516391066,NEWMONT,461.92817761883475,0.01827267177890147,0.018371447433174495,0.000703853539839003,0.0007485778614805782
2017,9,US69351T1060,PPL,3803.036184648131,0.0021939479524529953,0.0,0.0007494798092802874,0.00022329934789111768
2017,10,US75281A1097,RANGE RES.,398.94147635033386,0.017510992516178003,0.016440121146442225,0.00014889906882853998,8.603380505045795e-05
2018,1,US8425871071,SOUTHERN,4438.898658330077,0.04575215543306114,0.01569771336865104,0.001717196891339396,0.0007318984221009535
2018,2,US26441C2044,DUKE ENERGY,4064.795889666879,0.02092823410024722,0.004506956833754989,0.002337842607090446,0.0017381302066246142
2018,3,US3379321074,FIRSTENERGY,2344.966255261468,0.03132577454133224,0.021097428109907765,0.0007297916260770235,0.00017063248477177366
2018,4,US1258961002,CMS ENERGY,2580.949263253836,0.021957255934259633,0.01576553864160269,0.0005345687931006682,0.00013792320191752537
2018,5,US92939U1060,WEC ENERGY GROUP,3533.8955350722363,0.01279084548411572,0.00718545827907632,0.0008304303555656393,0.00041995912171876096
2018,6,US98389B1008,XCEL ENERGY,4451.803142004564,0.006974701785611765,0.0,0.0009620722054275375,8.731632919609234e-05
2018,7,US6516391066,NEWMONT,239.11268372346217,0.034887519915744056,0.03407001312954032,0.0007013634222782681,0.0007834338514424035
2018,8,US69331C1080,PG&E,240.18797782316895,0.029506453685979844,0.03497422537096988,0.0004681100291097511,0.0005546819016915547
2018,9,US2091151041,CONSOLIDATED EDISON,254.96551151001412,0.022643998232361913,0.03974754550780567,0.0009050010947803505,0.0011249383720617209
2018,10,CA0084741085,AGNICO-EAGLE MNS. (NYS),141.8324038172733,0.016017186225120297,0.016464856146825014,0.00036009273481482016,0.000505827943796975
2019,1,US26441C2044,DUKE ENERGY,3460.8870303005588,0.03155447740991414,0.008851540151318657,0.002030451514852596,0.0013997786262824174
2019,2,US8425871071,SOUTHERN,3754.5675675675675,0.027211928242250806,0.003429051649586,0.0019625028403823823,0.0012342948867841322
2019,3,US4198701009,HAWAIIAN ELECTRIC INDS.,1415.7237938807675,0.035403955202967775,0.027741194155965116,0.00015001146076455788,2.900277205032492e-20
2019,4,US3379321074,FIRSTENERGY,1607.5009324216321,0.022666294609636838,0.023086736776010305,0.0007714113425051926,0.0005957136136347132
2019,5,US29364G1031,ENTERGY,3122.117340626945,0.0022484492098011812,2.729263039644223e-18,0.0007008736854664272,3.340372453667785e-20
2019,6,CA0084741085,AGNICO-EAGLE MNS. (NYS),206.0702897447234,0.03181522762261338,0.03281071499468998,0.0004325407566299177,0.0005538961037993216
2019,7,US2091151041,CONSOLIDATED EDISON,235.6326497527762,0.026489795021827134,0.0455721504931683,0.0008835084417285713,0.0010861538718199635
2019,8,US7607591002,REPUBLIC SVS.'A',1657.5287075859735,0.0035762057003638314,6.756763672029944e-18,0.0008403235779449794,0.0005275393856947392
2019,9,US6516391066,NEWMONT,219.87508617123947,0.01666107823860767,0.0169920781265159,0.0010464618776500046,0.0011371374502940992
2019,10,US03027X1000,AMERICAN TOWER,91.44164728968697,0.026091115104881355,0.030322669288031904,0.0029904614097306967,0.0031128859166700005
2020,1,US25746U1097,DOMINION ENERGY,1996.255037211835,0.029722743535782782,0.026023029104527168,0.0016126131538910108,0.0014824270004787808
2020,2,US26441C2044,DUKE ENERGY,2995.534112205431,0.019553663493681758,4.891309013011683e-19,0.0017712404892858168,0.0013317655885557705
2020,3,US3379321074,FIRSTENERGY,1332.5489805165382,0.041306406996732235,0.032392704388747036,0.00043656997436927915,0.00017255529548968376
2020,4,US0236081024,AMEREN,4358.585448392555,0.01229141859070515,3.858173805623721e-19,0.0005072336912990372,0.0
2020,5,US4198701009,HAWAIIAN ELECTRIC INDS.,1343.7680568538033,0.03542765267052049,0.01836789896815468,0.00010182193964933069,0.0
2020,6,US1258961002,CMS ENERGY,2167.2404674945215,0.019338876777759993,0.007214315052442661,0.00045919088033788793,0.00013784857697555608
2020,7,US65473P1057,NISOURCE,1396.0874656837336,0.01688543982231213,0.0049533301982684266,0.00023107400806586726,0.0
2020,8,US92939U1060,WEC ENERGY GROUP,2641.4642899868404,0.008728790730051193,0.00268969597939384,0.0007630577431050827,0.0005310678103314887
2020,9,US7607591002,REPUBLIC SVS.'A',1554.0135347690157,0.0076105710256983245,4.2370005758835703e-19,0.0008067902329331212,0.0005855655434321735
2020,10,US8425871071,SOUTHERN,3506.7921938465847,0.0016126292547251446,3.486984580720139e-19,0.0017059025082066478,0.0012392238176375647
2021,1,US3379321074,FIRSTENERGY,1474.8697868396664,0.044527055914620695,0.032556089296836094,0.00047670310122307244,0.0002633207248620316
2021,2,US1258961002,CMS ENERGY,2628.4694610778442,0.017923663709075312,0.0,0.0003967497556325055,0.0
2021,3,US65339F1012,NEXTERA ENERGY,2400.30467554548,0.018220171504171462,0.017086358136676097,0.003855947478571868,0.00390844912910176
2021,4,US1270971039,COTERRA ENERGY,1078.3186974281607,0.04027286311310555,0.03961795821668263,0.00032544499384841446,0.00031592857610515733
2021,5,US65473P1057,NISOURCE,1766.6480124741013,0.010587549698926937,0.0,0.00022827448409791216,2.8131107631057802e-21
2021,6,US4198701009,HAWAIIAN ELECTRIC INDS.,1430.5375468790883,0.013059670343382778,0.0,9.588266469234088e-05,0.0
2021,7,US7607591002,REPUBLIC SVS.'A',1526.4703159470532,0.004283086181249705,0.0,0.0009346923421085948,0.0007901492759002822
2021,8,NL0009432491,KONINKLIJKE VOPAK,225.14152297796622,0.021605091410099003,0.021937647252235494,9.272273883359563e-05,9.785005765734485e-05
2021,9,US2091151041,CONSOLIDATED EDISON,227.5028580761065,0.0212015826476343,0.030507120852698223,0.0006354347943218785,0.0007672577919278655
2021,10,US25746U1097,DOMINION ENERGY,2236.8981795088907,0.0013155177797831601,0.0,0.0013397119283581644,0.0012025060641023182
2022,1,US3379321074,FIRSTENERGY,1485.4136722960834,0.036523841679662536,0.0261734225518454,0.0006045238529787802,0.00034959809176236025
2022,2,US25746U1097,DOMINION ENERGY,2198.892795760527,0.01933893294287624,0.0044057478506503486,0.0012881515675416766,0.0010438878835518773
2022,3,US8425871071,SOUTHERN,3672.1801583524425,0.01057367653807839,3.354982097184275e-19,0.0019598941775541387,0.0013700786038069097
2022,4,US1258961002,CMS ENERGY,2411.6285987174238,0.012715150870182755,3.6693182289425804e-19,0.0004634051272875488,0.0
2022,5,US1270971039,COTERRA ENERGY,421.50272479564035,0.035208462461419635,0.03452927574890635,0.0004928035172616659,0.0005374950318930178
2022,6,ES0112501012,EBRO FOODS,62.61810306374073,0.05382306943855494,0.05010381483222976,6.069132773154723e-05,6.2863127676665824e-06
2022,7,US65339F1012,NEXTERA ENERGY,2459.7796590309918,0.0011451272393061263,0.0010470252993252315,0.004188097665980762,0.004188857338656824
2022,8,US6516391066,NEWMONT,144.8190967108493,0.011607650057882281,0.012578885510953671,0.0009444871543050174,0.000994733755003995
2022,9,DE0007042301,RHOEN-KLINIKUM,25.472848913123087,0.05263504838450361,0.05165296195212924,2.7295857903214715e-05,0.0
2022,10,US4404521001,HORMEL FOODS,53.070830618076094,0.02461552008817461,0.02713284044792393,0.0006274727132202959,0.0006608109999958478
2023,1,US3379321074,FIRSTENERGY,1220.5926639377158,0.02857235568342166,0.017614877569645495,0.00044407976041802716,0.00013042021772783038
2023,2,US1258961002,CMS ENERGY,1871.0829455560727,0.015659639644838345,0.0,0.0003576676513714368,4.5501181878451364e-21
2023,3,US65339F1012,NEXTERA ENERGY,2017.4936533689636,0.007774460007617623,0.005034345722267398,0.0026307968942412135,0.002532175382627374
2023,4,US26441C2044,DUKE ENERGY,2538.236929922136,0.005228832354545649,0.0,0.0015788439800490002,0.001028509933956529
2023,5,US8425871071,SOUTHERN,2707.200519143413,0.0037756164167213335,0.0,0.0016144006754394036,0.0010535055825016512
2023,6,US1270971039,COTERRA ENERGY,142.78011351692243,0.037941056156976787,0.03707763464370826,0.0004052340622598454,0.0004880482944460566
2023,7,ES0112501012,EBRO FOODS,51.98187901293657,0.04618604908140125,0.043015788527143106,5.568822112491341e-05,2.957632085482106e-21
2023,8,US4404521001,HORMEL FOODS,50.48976863155447,0.038272482447707735,0.03947556248575567,0.0003706784227824592,0.0004031016250367193
2023,9,DE0007042301,RHOEN-KLINIKUM,23.813617171895938,0.0666243203598065,0.06606722952120178,1.5615796709763624e-05,0.0
2023,10,CA8029121057,SAPUTO,39.96967565902734,0.028247620590357934,0.02719739095220418,0.00018186306478817275,0.0001568164757188884
2024,1,US1258961002,CMS ENERGY,2155.4313856874833,0.018915601555915137,0.001350402623277628,0.00036958528603807676,1.7636077967741622e-20
2024,2,US3379321074,FIRSTENERGY,1089.256721056721,0.03162924472902229,0.023713175536652673,0.00042548297265615264,0.0001752213196511994
2024,3,US98389B1008,XCEL ENERGY,2299.028579473462,0.01457245892013363,7.621504041635846e-19,0.0007195874143920289,0.00026362824105731627
2024,4,US1270971039,COTERRA ENERGY,207.13177339901478,0.03657379672799822,0.03555177922003244,0.00034907380375780747,0.00045912073777176906
2024,5,US30034W1062,EVERGY,4253.5189354053955,0.0008738479227448541,7.768326457499355e-19,0.0002627041684959103,3.190032972933226e-20
2024,6,ES0112501012,EBRO FOODS,57.873984318117834,0.054721499951683475,0.05193722678127935,4.695592751326791e-05,0.0
2024,7,US4404521001,HORMEL FOODS,51.52782288030854,0.04538528847571899,0.04649304003787722,0.000319634110492586,0.0003576855800834305
2024,8,DE0007042301,RHOEN-KLINIKUM,17.34019614662308,0.07978890919957328,0.08021628253286046,1.7758615679986667e-05,0.0
2024,9,CA8029121057,SAPUTO,39.70244148241003,0.03316395901987829,0.030703100431434174,0.0001367289247192076,6.762016982391182e-05
