,P(mv)_oos,P(mv)_oos(0.5),P(vw)_oos,P(vw)_oos(0.5)
Ann. return,0.0807873992642833,0.08033711733643725,0.1154152650207711,0.1157264406459925
Ann. volatility,0.1129463312483275,0.11163332262563883,0.1419466149612896,0.1417244313888202
Sharpe ratio,0.5605529508088455,0.5631124816309974,0.6899795746977162,0.6932569048482558
Min monthly,-0.09100407119529941,-0.08390013646723438,-0.13132668583542764,-0.1303372308502216
Max monthly,0.08753959467548622,0.09131202454782192,0.12878566987729986,0.12879216110397612
Avg WACI,702.573532521873,347.1471872865029,145.81225650869456,84.15484040291514
Avg CF,294.0640263928178,147.03200661420613,97.68975306973267,48.844827689989835
