date,Rp_nz
2014-01-31,-0.035836851288741686
2014-02-28,0.0546032909482994
2014-03-31,0.007290915994446598
2014-04-30,0.016100623723271465
2014-05-30,0.016047682418734936
2014-06-30,0.011376631349969503
2014-07-31,-0.02313542465221169
2014-08-29,0.02475881671922621
2014-09-30,-0.023372951708806447
2014-10-31,0.005086397444719794
2014-11-28,0.027324636886997652
2014-12-31,-0.017706017647165014
2015-01-30,-0.02279025699108886
2015-02-27,0.05696979320658119
2015-03-31,-0.018836977767828982
2015-04-30,0.02226007918763665
2015-05-29,0.0028605311339066426
2015-06-30,-0.02376235261700568
2015-07-31,0.019498069094002618
2015-08-31,-0.06348953660622222
2015-09-30,-0.030060411412120392
2015-10-30,0.07509488248608014
2015-11-30,-0.005039953036586026
2015-12-31,-0.023270020768730866
2016-01-29,-0.05275479527722487
2016-02-29,-0.008157148407147846
2016-03-31,0.0702614632639141
2016-04-29,0.013129373914002034
2016-05-31,0.007022150272804093
2016-06-30,-0.014375755310929914
2016-07-29,0.03681525269306489
2016-08-31,0.0026259918382249905
2016-09-30,0.002278787044056708
2016-10-31,-0.02110843412601189
2016-11-30,0.018548851826017072
2016-12-30,0.03345462631764623
2017-01-31,0.015851609385024924
2017-02-28,0.028296718198383083
2017-03-31,0.01394557309287292
2017-04-28,0.018522764733014115
2017-05-31,0.026106457129457757
2017-06-30,0.00216266441784554
2017-07-31,0.022322999918278727
2017-08-31,0.0021028618623981834
2017-09-29,0.028153228818596047
2017-10-31,0.018780058338642477
2017-11-30,0.022172073588642777
2017-12-29,0.013242740039802182
2018-01-31,0.049636254285023426
2018-02-28,-0.047036953196680976
2018-03-30,-0.018215432392306097
2018-04-30,0.012416693206639632
2018-05-31,0.0014124111204687952
2018-06-29,0.00024230563368017968
2018-07-31,0.03856362937275272
2018-08-31,0.00922820506184929
2018-09-28,0.006647151222807783
2018-10-31,-0.06414989712260524
2018-11-30,0.010830120578175203
2018-12-31,-0.07827139564627644
2019-01-31,0.07579348943765013
2019-02-28,0.033440520438430196
2019-03-29,0.01466986963775254
2019-04-30,0.03737004819081248
2019-05-31,-0.05999490975093769
2019-06-28,0.07039917663431536
2019-07-31,0.004224099500289566
2019-08-30,-0.018535512406527697
2019-09-30,0.02496730302010898
2019-10-31,0.02234054909937562
2019-11-29,0.029949498946431192
2019-12-31,0.03499651204909239
2020-01-31,-0.009568193869158132
2020-02-28,-0.08792692889734975
2020-03-31,-0.1307375919285761
2020-04-30,0.10753765156805975
2020-05-29,0.04131190371754041
2020-06-30,0.028441912121326608
2020-07-31,0.04855390293114212
2020-08-31,0.06526769494104487
2020-09-30,-0.03802577864735897
2020-10-30,-0.03617885473308821
2020-11-30,0.12834703880364043
2020-12-31,0.039967183666013886
2021-01-29,-0.012135950853493225
2021-02-26,0.027174837598367724
2021-03-31,0.045511187296130934
2021-04-30,0.05016122324729212
2021-05-31,0.020070949700934156
2021-06-30,0.008807666662005085
2021-07-30,0.018998555795830995
2021-08-31,0.022812010409846564
2021-09-30,-0.04503465310457609
2021-10-29,0.06363929286021221
2021-11-30,-0.014991727428045842
2021-12-31,0.05312430819787349
2022-01-31,-0.04101625913778298
2022-02-28,-0.02456298928267661
2022-03-31,0.02733442166626929
2022-04-29,-0.07211590335285563
2022-05-31,0.005828396898566702
2022-06-30,-0.08581353996912644
2022-07-29,0.0785256453723005
2022-08-31,-0.043228200440403604
2022-09-30,-0.09154378356977187
2022-10-31,0.08700381688456041
2022-11-30,0.07010057338921032
2022-12-30,-0.041549023023584514
2023-01-31,0.0661180062740947
2023-02-28,-0.022488956708037845
2023-03-31,0.030965420466323845
2023-04-28,0.026515621098913488
2023-05-31,-0.018594066100120175
2023-06-30,0.060881669547338396
2023-07-31,0.02929351586043148
2023-08-31,-0.022504815228363822
2023-09-29,-0.04599119755186249
2023-10-31,-0.02205814361266553
2023-11-30,0.09004835161321223
2023-12-29,0.04523969366410224
2024-01-31,0.01247406569577522
2024-02-29,0.03896611251038906
2024-03-29,0.036403943084127706
2024-04-30,-0.03595065827778671
2024-05-31,0.0515441088807329
2024-06-28,0.016401827446427993
2024-07-31,0.016821307994372828
2024-08-30,0.026751007170612573
2024-09-30,0.01471912206505233
2024-10-31,-0.022228967234525113
2024-11-29,0.04137055717535938
2024-12-31,-0.032401480053474194
2025-01-31,0.03073674269008358
2025-02-28,0.005315794198989519
2025-03-31,-0.03934170343809998
2025-04-30,-0.0005443233979828058
2025-05-30,0.050378551912277
2025-06-30,0.04349194299076006
2025-07-31,0.016881154808688008
2025-08-29,0.024109218198040853
2025-09-30,0.027543773316793575
2025-10-31,0.02308983257449559
2025-11-28,0.007822052663281516
2025-12-31,0.014903443507261067
