screen_year,investment_year,date,Rp_mvp
2023,2024,2024-05-31,0.03008781794761481
2023,2024,2024-06-28,-0.010031171375101733
2023,2024,2024-07-31,0.027399866390786197
2023,2024,2024-08-30,0.044802720944538015
2023,2024,2024-09-30,-0.005980811556354734
2023,2024,2024-10-31,-0.046471688194120675
2023,2024,2024-11-29,-6.588281982651892e-05
2023,2024,2024-12-31,-0.03434676809823738
2024,2025,2025-01-31,-0.0018135684765785416
2024,2025,2025-02-28,0.009634857253662666
2024,2025,2025-03-31,0.015096231437208714
2024,2025,2025-04-30,0.039929090070293105
2024,2025,2025-05-30,-0.011880255634260935
2024,2025,2025-06-30,0.0014419354806432545
2024,2025,2025-07-31,-0.005382141263953059
2024,2025,2025-08-29,0.014033933629953983
2024,2025,2025-09-30,0.00033887939880648116
2024,2025,2025-10-31,-0.010254942194711915
2024,2025,2025-11-28,0.05066047418057239
2024,2025,2025-12-31,0.008206493415200284
