Year,WACI_MVP,WACI_VW,CF_MVP,CF_VW,WACI_MVP_vs_VW_%,CF_MVP_vs_VW_%
2013,737.7063776638361,176.27290343994545,359.3932234282943,149.13110532942954,318.50242621956124,140.9914569025672
2014,606.3788173299835,182.79776511789763,253.96543055316732,145.61149990896197,231.72113288085998,74.4130310531445
2015,449.7805356486646,166.21090913051881,215.7893298189232,148.47681352672632,170.6083120545775,45.335372367807715
2016,330.2944564019454,195.0517247159226,129.03208122239909,134.05303883187514,69.33685507420822,-3.7455007758333436
2017,362.0898449927533,184.5578280587201,159.6554278456612,107.81799932752527,96.1931654709051,48.07864071069081
2018,529.2494912252132,168.39419357542926,271.2146461710154,115.48299533568303,214.29200733583792,134.8524519845156
2019,339.2641006293912,147.81826497879888,137.07899395345927,84.00953605475262,129.51433009855094,63.170754643995444
2020,409.7278333636918,121.50100531426328,182.9887836995026,67.82952955155604,237.22176397135777,169.77746257316443
2021,269.9919750123976,125.6587113748426,91.35871812120577,55.90621337840622,114.86132720795284,63.41424789913079
2022,200.82665649592005,121.27882153864618,78.71610384680366,65.47345005770211,65.59087064671509,20.22599050062388
2023,122.14183000607471,79.26126646350923,64.91072971584092,52.810019794177066,54.100275526517215,22.91366291629018
2024,134.52024514834952,80.94368439584056,68.85650364353036,45.674835739996595,66.18992099556822,50.75369736520807
