screen_year,investment_year,date,Rp_mvp05
2023,2024,2024-04-30,0.0014475391001555022
2023,2024,2024-05-31,0.013207709690034144
2023,2024,2024-06-28,-0.01307133294780045
2023,2024,2024-07-31,0.04378837937804923
2023,2024,2024-08-30,0.05332650986660188
2023,2024,2024-09-30,0.01047259249401147
2023,2024,2024-10-31,-0.04163436372897978
2023,2024,2024-11-29,0.018290122220076546
2023,2024,2024-12-31,-0.04648368282376984
2024,2025,2025-01-31,0.00033789334646138446
2024,2025,2025-02-28,0.03662689268960338
2024,2025,2025-03-31,0.028205426698794226
2024,2025,2025-04-30,0.03014383922796224
2024,2025,2025-05-30,-0.012293267163458637
2024,2025,2025-06-30,-0.011019383593752794
2024,2025,2025-07-31,-0.003373916423134735
2024,2025,2025-08-29,0.003461303841903137
2024,2025,2025-09-30,0.0033568172812480177
2024,2025,2025-10-31,-0.022807637241766328
2024,2025,2025-11-28,0.038384528850024774
2024,2025,2025-12-31,-0.005424477834708013
