portfolio,start_date,end_date,n_months,ann_mean_return,ann_cumulative_return,ann_volatility,sharpe_ratio,min_monthly_return,max_monthly_return
Sample covariance,2014-01,2025-12,144,0.06670284861123382,0.061360887163386835,0.11838622571433209,0.4158241240836702,-0.12474920322825399,0.1110485782397263
Single-factor (CAPM),2014-01,2025-12,144,0.08775638039256282,0.08304417346042592,0.12477525439268586,0.5632637716079272,-0.11091771972181877,0.1142190595581255
Ledoit-Wolf,2014-01,2025-12,144,0.07960556392552631,0.07570335416284579,0.11347025329679804,0.5475493543053502,-0.09793000697682942,0.08892384563381033
Value-weighted,2014-01,2025-12,144,0.11610896840263021,0.11142182753459484,0.1417472954542223,0.6958437414030544,-0.1306650921429245,0.12839401815392895
