Year,WACI_VW,WACI_NZ,CF_VW,CF_NZ,CF_NZ_target
2013,176.27290343994545,167.82169403620412,149.13110532942954,134.21786050820612,134.2179947964866
2014,182.79776511789763,168.66417495244266,145.61149990896197,120.7959492731931,120.79619531683794
2015,166.21090913051881,140.80317831735022,148.47681352672632,108.7164670685789,108.71657578515415
2016,195.0517247159226,165.84499923088322,134.05303883187514,97.84482036172032,97.84491820663872
2017,184.5578280587201,166.7404194036395,107.81799932752527,88.06033832554856,88.06042638597486
2018,168.39419357542926,134.11213842175175,115.48299533568303,79.25430449299351,79.25438374737737
2019,147.81826497879888,135.56695183352346,84.00953605475262,71.3288740436942,71.32894537263964
2020,121.50100531426328,118.1500385510577,67.82952955155604,64.19598663932491,64.19605083537569
2021,125.6587113748426,125.27000340108766,55.90621337840622,55.386862201219735,57.77644575183811
2022,121.27882153864618,110.44039278442028,65.47345005770211,51.99874917785324,51.998801176654304
2023,79.26126646350923,76.03391999707979,52.810019794177066,46.79887426006785,46.79892105898887
2024,80.94368439584056,77.97183364423572,45.674835739996595,42.11898683406102,42.119028953089995
