,P(vw)_oos,P(vw)_oos(0.5),P(vw)_oos(NZ)
Ann. return,0.1154152650207711,0.11564246479317386,0.11608906399036664
Ann. volatility,0.1419466149612896,0.141709705536865,0.14170275233412089
Sharpe ratio,0.6899795746977162,0.6927363543750793,0.695922008330823
Min monthly,-0.13132668583542764,-0.13048601336160648,-0.1307375919285761
Max monthly,0.12878566987729986,0.12876939471139437,0.12834703880364043
Avg WACI,145.81225650869456,88.68529531166895,132.2849787144595
Avg CF,97.68975306973267,48.84482768998981,80.05983943220515
Return vs P(vw) (bps/yr),0.0,2.271997724027641,6.737989695955459
