Portfolio,Ann. return,Ann. volatility,Sharpe,Min monthly,Max monthly
P(vw)_oos,0.11541526502077104,0.14194661496128955,0.6899795746977162,-0.13132668583542761,0.12878566987729984
P(vw)_oos(0.5),0.11491103122181742,0.14189372533509936,0.6866831566491777,-0.13109350419964622,0.12913377443818005
P(vw)_oos(NZ),0.11538334850920637,0.14188207024782895,0.690068507868453,-0.13136378257353606,0.1287279392969471
