Year,Portfolio,ISIN,Name,Weight,CI,Contribution
2013,P(mv)_oos,US8425871071,SOUTHERN,0.021673915818102154,7316.925681804439,158.5864312747391
2013,P(mv)_oos,US69351T1060,PPL,0.025217876520123386,2635.6785742637135,66.46621683251718
2013,P(mv)_oos,US92939U1060,WEC ENERGY GROUP,0.004481727629353497,7194.329314242653,32.243024462309094
2013,P(mv)_oos,US2091151041,CONSOLIDATED EDISON,0.11180368611702042,275.8450935346242,30.840498254465263
2013,P(mv)_oos,US75281A1097,RANGE RES.,0.01272240054268046,1612.0512482854847,20.509161676015964
2013,P(mv)_oos,US6516391066,NEWMONT,0.03109946399988704,455.0060802594244,14.150445212757681
2013,P(mv)_oos,US69331C1080,PG&E,0.02564792512387153,250.66489361702128,6.429034422672585
2013,P(mv)_oos,GB0002670437,DEVRO DEAD - DELIST.14/04/23,0.0145006134730451,208.9231750146884,3.0295142064493503
2013,P(mv)_oos,GB00B572ZV91,PHAROS ENERGY,0.006246496941376228,394.8114044295588,2.466188230189692
2013,P(mv)_oos,US30231G1022,EXXON MOBIL,0.005465197382902133,320.88307020921576,1.7536893155250075
2013,P(mv)_oos(0.5),US69351T1060,PPL,0.01957063022719853,2635.6785742637135,51.581890774664956
2013,P(mv)_oos(0.5),US2091151041,CONSOLIDATED EDISON,0.12455809879340246,275.8450935346242,34.35874041216106
2013,P(mv)_oos(0.5),US75281A1097,RANGE RES.,0.011668379790003585,1612.0512482854847,18.8100262059444
2013,P(mv)_oos(0.5),US6516391066,NEWMONT,0.03144690690748976,455.0060802594244,14.308533848259932
2013,P(mv)_oos(0.5),US69331C1080,PG&E,0.03085178137940395,250.66489361702128,7.733458497363889
2013,P(mv)_oos(0.5),GB0002670437,DEVRO DEAD - DELIST.14/04/23,0.013877837290794476,208.9231750146884,2.8994018291300234
2013,P(mv)_oos(0.5),GB00B572ZV91,PHAROS ENERGY,0.005845386824578291,394.8114044295588,2.3078253816457943
2013,P(mv)_oos(0.5),US30231G1022,EXXON MOBIL,0.006580692772385442,320.88307020921576,2.1116329009066366
2013,P(mv)_oos(0.5),US3703341046,GENERAL MILLS,0.10221590956986248,16.41422254414608,1.677794687232034
