date,screen_year,investment_year,Rp_mvp,Rp_vw,cum_mvp,cum_vw
2014-01-31,2013,2014,0.0003021134647071379,-0.03577051251348725,1.0003021134647072,0.9642294874865127
2014-02-28,2013,2014,0.044723844275242106,0.054572726460887365,1.0450394694154983,1.0168501195526358
2014-03-31,2013,2014,0.012747868859693114,0.00776226133556328,1.0583614955248104,1.024743175919702
2014-04-30,2013,2014,0.02585388231986392,0.015832022085432787,1.085724249081984,1.0409669325127595
2014-05-30,2013,2014,-0.0022932526474376486,0.01643020929599078,1.0832344090733896,1.0580702370841495
2014-06-30,2013,2014,0.011500262054297179,0.01148059602195002,1.0956918886439655,1.0702175140389614
2014-07-31,2013,2014,-0.042112758244588634,-0.023164508181366013,1.0495492810269456,1.0454264516791647
2014-08-29,2013,2014,0.03453858110491733,0.02457691833184668,1.0857992239933023,1.0711198122040357
2014-09-30,2013,2014,-0.03113217321456895,-0.02330935776278099,1.0519959344756982,1.0461526972945692
2014-10-31,2013,2014,0.06144894574659856,0.004941866289649037,1.1166399755789376,1.0513226440431545
2014-11-28,2013,2014,0.028488862924663353,0.02684646801091426,1.1484517787794053,1.0795469437756087
2014-12-31,2013,2014,0.01372748984276577,-0.01793837814404244,1.1642171389075058,1.0601816224739165
2015-01-30,2014,2015,0.012912625505942014,-0.022821757335786286,1.1792502388298176,1.0359864147539566
2015-02-27,2014,2015,-0.008127928288496171,0.05685610170123577,1.1696653774544168,1.094888563712306
2015-03-31,2014,2015,-0.009679525620196682,-0.018782252850365794,1.1583435714662897,1.0743240898656876
2015-04-30,2014,2015,-0.0033545438499082217,0.02217672013381463,1.1544578571625468,1.098149074539654
2015-05-29,2014,2015,0.008971976844232567,0.0027638197172713957,1.1648156263246516,1.1011841606043702
2015-06-30,2014,2015,-0.026300234425366154,-0.023807505653367592,1.1341807022899837,1.0749677124753827
2015-07-31,2014,2015,0.057901959886358115,0.01953878974553075,1.19985198781786,1.0959712805926733
2015-08-31,2014,2015,-0.03409812795661482,-0.06371876922900287,1.158939281208248,1.026137339482974
2015-09-30,2014,2015,0.001626720291177765,-0.030293603947790092,1.1608245512532323,0.9950519413246377
2015-10-30,2014,2015,0.028417023791116602,0.0748478183162357,1.1938117301435076,1.0695294082441218
2015-11-30,2014,2015,-0.004517843738566517,-0.005311215995536844,1.1884182752934513,1.0638489065433585
2015-12-31,2014,2015,0.028541063570502345,-0.022883795351498475,1.2223369968369484,1.039504005881105
2016-01-29,2015,2016,0.01728270312247643,-0.05258465528398183,1.243462284268901,0.9848420460655288
2016-02-29,2015,2016,0.008030056092456741,-0.008168481738206237,1.2534473561604345,0.9767973817972249
2016-03-31,2015,2016,0.054695537883658586,0.0705036005285419,1.3220053335144792,1.045665114200782
2016-04-29,2015,2016,0.002673815658811002,0.01346581614572162,1.325540132076262,1.0597458483786049
2016-05-31,2015,2016,0.009119918405637018,0.0065925835208835775,1.337628949924195,1.0667323113949505
