portfolio,start_date,end_date,n_months,ann_mean_return,ann_volatility,sharpe_ratio,min_monthly_return,max_monthly_return
P(mv)_oos — sample cov,2014-01,2025-12,144,0.06643431976101681,0.11846158232096257,0.41329280600326,-0.12474912589603585,0.11104851812620495
P(mv-sf)_oos — single factor,2014-01,2025-12,144,0.0856255929062931,0.124737092674476,0.5463538667214602,-0.11037908588752371,0.11337515398849018
P(vw)_oos — benchmark,2014-01,2025-12,144,0.11610896840263019,0.1417472954542222,0.6958437414030544,-0.13066509214292443,0.12839401815392892
