year,portfolio,ISIN,name,weight,CI,contribution
2013,MVP,US8425871071,SOUTHERN,0.04470277536597502,7316.925681804439,327.08688512323744
2013,MVP,US92939U1060,WEC ENERGY GROUP,0.03577852915624102,7194.329314242653,257.4025211292302
2013,MVP,US69351T1060,PPL,0.02686388848571614,2635.6785742637135,70.8045753032117
2013,MVP,US75281A1097,RANGE RES.,0.014334107130282988,1612.0512482854847,23.107315292430556
2013,MVP,US2091151041,CONSOLIDATED EDISON,0.055027122964962004,275.8450935346242,15.178961881211212
2013,MVP,US6516391066,NEWMONT,0.02949664719918821,455.0060802594244,13.421153822897756
2013,MVP,US69331C1080,PG&E,0.028329528917535454,250.66489361702128,7.101218352334352
2013,MVP,US30231G1022,EXXON MOBIL,0.012692530920719008,320.88307020921576,4.07281829056572
2013,MVP,GB0002670437,DEVRO DEAD - DELIST.14/04/23,0.016785529437376226,208.9231750146884,3.5068861043591575
2013,MVP,US4943681035,KIMBERLY-CLARK,0.022990376681661335,104.44855908465081,2.401311717212882
2013,VW,US26441C2044,DUKE ENERGY,0.0021536777612340147,6869.139828781084,14.79391368805265
2013,VW,US8425871071,SOUTHERN,0.001613706529567118,7316.925681804439,11.807370749085159
2013,VW,US0255371017,AMER.ELEC.PWR.,0.0010078001892211193,7714.954834392774,7.7751329419334265
2013,VW,US30231G1022,EXXON MOBIL,0.019392502986208187,320.88307020921576,6.222725897255868
2013,VW,US65339F1012,NEXTERA ENERGY,0.0016470617554694973,3370.2909478168262,5.551077324954138
2013,VW,US25746U1097,DOMINION ENERGY,0.0016597996616889727,3089.975093399751,5.128739614652258
2013,VW,CH0012214059,HOLCIM,0.0010851789027103878,4010.828314419435,4.352466269201437
2013,VW,US98389B1008,XCEL ENERGY,0.0006146181204602899,5581.959441453846,3.4307734203919322
2013,VW,US1667641005,CHEVRON,0.010618903181994615,309.932668250767,3.2911449970921507
2013,VW,US2810201077,EDISON INTL.,0.000666823378807044,4779.969650986343,3.1873955132658405
2014,MVP,US8425871071,SOUTHERN,0.0510406095757777,7081.40691753965,361.43932572535266
2014,MVP,US92939U1060,WEC ENERGY GROUP,0.009185754566161896,6585.970347421996,60.497107191438445
2014,MVP,US26441C2044,DUKE ENERGY,0.00948768108646685,5480.120334986585,51.9936340538146
2014,MVP,US69351T1060,PPL,0.016372236362989342,2800.786263109321,45.85513470183946
2014,MVP,GB00B03HDJ73,ESKEN LIMITED DEAD - DELIST.02/04/24,0.011037170772855273,1312.846482898851,14.49011083029704
2014,MVP,US2091151041,CONSOLIDATED EDISON,0.05361760987838507,259.3491986401166,13.905684154957566
2014,MVP,US75281A1097,RANGE RES.,0.011169727590569774,1189.2462449235995,13.28355659390463
2014,MVP,US6516391066,NEWMONT,0.026549540823597947,492.6700312424898,13.080163107035759
2014,MVP,GB00B572ZV91,PHAROS ENERGY,0.012266315244077959,582.4645424473165,7.144693696156412
2014,MVP,US94106L1098,WASTE MANAGEMENT,0.004955724717147965,1319.2801258671243,6.537989128601787
