date,Rp_te05
2014-01-31,-0.03642422973905561
2014-02-28,0.054475525903038974
2014-03-31,0.006700951134917035
2014-04-30,0.015992414446527888
2014-05-30,0.016309447964608405
2014-06-30,0.011137961225111724
2014-07-31,-0.022496219449808272
2014-08-29,0.0246668105633198
2014-09-30,-0.023736911237317193
2014-10-31,0.004965526045585519
2014-11-28,0.02729049367118068
2014-12-31,-0.01786290485172553
2015-01-30,-0.022803859669579842
2015-02-27,0.05768966259389295
2015-03-31,-0.018568630292835266
2015-04-30,0.022406956481255614
2015-05-29,0.003100753270433786
2015-06-30,-0.02343556048294179
2015-07-31,0.01973897477522946
2015-08-31,-0.0632122544245173
2015-09-30,-0.029980445499712044
2015-10-30,0.07534956821668064
2015-11-30,-0.005007088835726774
2015-12-31,-0.023544473814487585
2016-01-29,-0.052852712670362186
2016-02-29,-0.008263696971601463
2016-03-31,0.07004820779637944
2016-04-29,0.012806893905503502
2016-05-31,0.007440504659786866
2016-06-30,-0.014936822083337683
2016-07-29,0.036729915389646525
2016-08-31,0.0029033567744656667
2016-09-30,0.002251943925413361
2016-10-31,-0.02189647189741753
2016-11-30,0.0188635725850446
2016-12-30,0.03337195941244991
2017-01-31,0.016041106767821788
2017-02-28,0.028048296194920778
2017-03-31,0.014000404850475845
2017-04-28,0.019018111684686343
2017-05-31,0.025692014033994313
2017-06-30,0.00211764063683525
2017-07-31,0.022209103744399744
2017-08-31,0.0017134109487471879
2017-09-29,0.028433145858203453
2017-10-31,0.01844093282078735
2017-11-30,0.022258743512430464
2017-12-29,0.013479238142215437
2018-01-31,0.04999227070743139
2018-02-28,-0.04728621354992239
2018-03-30,-0.018602077284778005
2018-04-30,0.012205254569259494
2018-05-31,0.0014631776165329284
2018-06-29,0.00021636080501014217
2018-07-31,0.03848726918505602
2018-08-31,0.009138603929897612
2018-09-28,0.006604768922580693
2018-10-31,-0.06427791034650883
2018-11-30,0.010769623317713898
2018-12-31,-0.07832912952943309
2019-01-31,0.07537580621671683
2019-02-28,0.03364186582480495
2019-03-29,0.014776845270978757
2019-04-30,0.0373858151744938
2019-05-31,-0.05978389263405935
2019-06-28,0.07036099227720702
2019-07-31,0.0043128733155792685
2019-08-30,-0.018476816621182186
2019-09-30,0.024723723028114084
2019-10-31,0.022289697518487167
2019-11-29,0.030027177050903218
2019-12-31,0.03497992584613389
2020-01-31,-0.009755594230018377
2020-02-28,-0.08745578992373304
2020-03-31,-0.13048601336160648
2020-04-30,0.10779634646035327
2020-05-29,0.040779437812936414
2020-06-30,0.028709192401501313
2020-07-31,0.048358542916165134
2020-08-31,0.06520368243678665
2020-09-30,-0.038220507893327246
2020-10-30,-0.03665499015570026
2020-11-30,0.12876939471139429
2020-12-31,0.04007851429921709
2021-01-29,-0.012096553901501706
2021-02-26,0.02664957766627435
2021-03-31,0.04499125486672845
2021-04-30,0.05051209476889728
2021-05-31,0.02016036034268636
2021-06-30,0.008912373223539348
2021-07-30,0.019200283739158636
2021-08-31,0.022509896447246196
2021-09-30,-0.045389255346757924
2021-10-29,0.06337238480313351
2021-11-30,-0.014948609074224923
2021-12-31,0.05298699436762562
2022-01-31,-0.04150225043906122
2022-02-28,-0.024354228543664428
2022-03-31,0.026725331395309186
2022-04-29,-0.07289822519141959
2022-05-31,0.004884190138265375
2022-06-30,-0.08481174047417987
2022-07-29,0.07835295357861746
2022-08-31,-0.04405460555853732
2022-09-30,-0.09116393152179031
2022-10-31,0.0867478935735396
2022-11-30,0.07016154535076752
2022-12-30,-0.041497245796339954
2023-01-31,0.06643101832011267
2023-02-28,-0.02230148422540671
2023-03-31,0.030389040501873684
2023-04-28,0.02667692194888656
2023-05-31,-0.01841875932416992
2023-06-30,0.06077636081221703
2023-07-31,0.029196974805357108
2023-08-31,-0.021938877442802266
2023-09-29,-0.045900466579572335
2023-10-31,-0.02199863175622047
2023-11-30,0.0900172811572706
2023-12-29,0.04547170281855328
2024-01-31,0.012605338118867252
2024-02-29,0.0390539327001812
2024-03-29,0.03618047733106529
2024-04-30,-0.03627925578966384
2024-05-31,0.05151112562161646
2024-06-28,0.016572860204952453
2024-07-31,0.01698371512498903
2024-08-30,0.026695536834806636
2024-09-30,0.014512948031640025
2024-10-31,-0.022764221990129306
2024-11-29,0.041304409760616174
2024-12-31,-0.032279210151055795
2025-01-31,0.030310014573641533
2025-02-28,0.005208122784079907
2025-03-31,-0.03928809630909928
2025-04-30,-0.0003538649354894764
2025-05-30,0.05076409241508142
2025-06-30,0.043204697381980885
2025-07-31,0.01620673449994491
2025-08-29,0.02430238414392417
2025-09-30,0.02787812415630061
2025-10-31,0.02288282108486819
2025-11-28,0.007486170099555752
2025-12-31,0.015369658274451064
