Year,WACI_VW,WACI_TE05,CF_VW,CF_TE05,WACI_change_%,CF_change_%
2013,176.27290343994545,98.47348851857726,149.13110532942954,74.56547809916225,-44.1357766299423,-50.00004999999991
2014,182.79776511789763,105.00821571657198,145.61149990896197,72.80567714873108,-42.55497836702453,-50.00004999999996
2015,166.21090913051881,92.62263684065275,148.47681352672632,74.23833252495638,-44.274032718321834,-50.00005000000001
2016,195.0517247159226,114.52184897598997,134.05303883187514,67.02645238941827,-41.28642074671117,-50.000049999999916
2017,184.5578280587201,106.32651304131409,107.81799932752527,53.90894575476308,-42.38851087503882,-50.000049999999895
2018,168.39419357542926,93.65766184003404,115.48299533568303,57.7414399263438,-44.3818935490304,-50.00005000000004
2019,147.81826497879888,82.98575884799263,84.00953605475262,42.00472602260831,-43.85960431892837,-50.00004999999996
2020,121.50100531426328,69.25021658930015,67.82952955155604,33.91473086101327,-43.004408555975374,-50.00004999999996
2021,125.6587113748426,75.61953119209826,55.90621337840622,27.953078736096526,-39.8214971610495,-50.00004999999981
2022,121.27882153864618,75.47769741264378,65.47345005770211,32.73669229212612,-37.76514608645633,-50.00004999999985
2023,79.26126646350923,47.94910848356335,52.810019794177066,26.40498349207862,-39.50499326724935,-50.00005000000003
2024,80.94368439584056,47.96540737624342,45.674835739996595,22.8373950325804,-40.742248472805855,-50.000050000000066
