screen_year,investment_year,date,Rp_mvp
2023,2024,2024-04-30,0.018975650634470143
2023,2024,2024-05-31,0.02182490745314352
2023,2024,2024-06-28,-0.017178978636370378
2023,2024,2024-07-31,0.025204227964904957
2023,2024,2024-08-30,0.03216292375865816
2023,2024,2024-09-30,-0.005151442313613656
2023,2024,2024-10-31,-0.04469926620047957
2023,2024,2024-11-29,-0.006062471314930315
2023,2024,2024-12-31,-0.026776859663385784
2024,2025,2025-01-31,-0.005897588600715003
2024,2025,2025-02-28,0.005221684589707062
2024,2025,2025-03-31,0.01507589204664889
2024,2025,2025-04-30,0.04380217821447145
2024,2025,2025-05-30,-0.018405324576255662
2024,2025,2025-06-30,-0.007047737492100271
2024,2025,2025-07-31,-0.013392672147711927
2024,2025,2025-08-29,0.009967012337559283
2024,2025,2025-09-30,0.004670205907160296
2024,2025,2025-10-31,-0.015233678566432849
2024,2025,2025-11-28,0.0545629208662249
2024,2025,2025-12-31,0.003866900572765354
