screen_year,investment_year,ISIN,weight
2017,2018,US00971T1016,0.019743085559705865
2017,2018,US0718131099,0.02349417920832553
2017,2018,US0844231029,0.03186218161956921
2017,2018,US09062X1037,0.0007452971303939021
2017,2018,US1890541097,0.06453630121133495
2017,2018,US2091151041,0.0399709046562781
2017,2018,US2473617023,0.00015155706194930205
2017,2018,US29670G1022,0.0035648175818966898
2017,2018,US3021301094,0.005292265888225316
2017,2018,US30231G1022,0.0173990563002624
2017,2018,US3703341046,0.07006475649225034
2017,2018,US3755581036,0.006378525020799027
2017,2018,US4278661081,0.06698571623439771
2017,2018,US5801351017,0.07422615612110585
2017,2018,US6516391066,0.014868024780351584
2017,2018,US69331C1080,0.07004939170609431
2017,2018,US74834L1008,0.04550351754520728
2017,2018,US75281A1097,0.021395868245868116
2017,2018,US8101861065,0.02167908283872351
2017,2018,US8425871071,0.020957742738631702
2017,2018,US8725401090,0.01008445952180581
2017,2018,US8816242098,0.01449822792954817
2017,2018,US9311421039,0.11398596660870097
2018,2019,CA0084741085,0.011566952566366024
2018,2019,CH0014786500,0.06869816483919616
2018,2019,FR0000120560,0.007238279546235983
2018,2019,GB0002318888,0.027394658937775235
2018,2019,GB0003718474,0.017090821169306953
2018,2019,GB0006886666,0.0020507882096719855
2018,2019,GB0008794710,0.05165153880276331
2018,2019,GB0009067447,0.019328069356122336
2018,2019,GB00B01QGK86,0.008144762335362586
2018,2019,GB00B0WMWD03,0.003689373495422608
2018,2019,GB00B8B4R053,0.004566565504800567
2018,2019,GB00BDFBVT43,0.015434910690211455
2018,2019,GB00BRB37M78,0.020978927373116376
2018,2019,GB00BYZN9041,0.005641816349485348
2018,2019,IE00BWT6H894,0.013744818640450712
2018,2019,US00971T1016,0.030664244570604474
2018,2019,US03027X1000,0.006426532134201735
2018,2019,US0584981064,0.012300167118398255
2018,2019,US1258961002,0.005962375772906047
2018,2019,US14149Y1082,0.014892582592042658
2018,2019,US1713401024,0.05953253961918129
2018,2019,US2371941053,0.02007821000943899
2018,2019,US28176E1082,0.007662946511650546
2018,2019,US3029411093,0.039181676829567524
2018,2019,US3379321074,0.042931753024708565
2018,2019,US4278661081,0.06234929812408728
2018,2019,US4404521001,0.017013825679254885
2018,2019,US4523271090,0.004661334915792
2018,2019,US4592001014,0.021704073994132468
2018,2019,US5002551043,0.03945993176302975
2018,2019,US5797802064,0.015721352232135166
2018,2019,US5801351017,0.07418629193733403
2018,2019,US6516391066,0.041460150648552574
2018,2019,US6658591044,0.0019557221725194883
2018,2019,US69331C1080,0.03593525104853129
2018,2019,US74834L1008,0.017100156503516466
2018,2019,US8425871071,0.12080589402938258
2018,2019,US8716071076,0.0010314255634900288
2018,2019,US8725401090,0.008804814709461015
2018,2019,US9311421039,0.020957000679793177
2019,2020,CA0084741085,0.03492971308779701
2019,2020,CA2918434077,0.04853357648613113
2019,2020,CH0014786500,0.06756067584521626
2019,2020,DE0007507501,0.005856137027773817
2019,2020,FR0000120560,0.023243501203413532
2019,2020,GB0003718474,0.005783170180718625
2019,2020,GB0006886666,0.050074776535873125
2019,2020,GB0008794710,0.02829715606756927
2019,2020,GB0009067447,0.00944732848323369
2019,2020,GB00BDFBVT43,0.01570571772456581
2019,2020,GB00BRB37M78,0.02661137264477412
2019,2020,IE00BWT6H894,0.04384547543437375
2019,2020,US00971T1016,0.010046390101882515
2019,2020,US03027X1000,0.026343286646765107
2019,2020,US0533321024,0.0016731748060410474
2019,2020,US12541W2098,0.0078541654897809
2019,2020,US1255231003,0.024445349342231307
2019,2020,US1713401024,0.06653768350753296
2019,2020,US2091151041,0.01805925000021408
2019,2020,US22822V1017,0.029520132070005926
2019,2020,US2371941053,0.009884725041321134
2019,2020,US26441C2044,0.03613444659165869
2019,2020,US3029411093,0.04881466844870038
2019,2020,US3379321074,0.022905058515316965
2019,2020,US4198701009,0.042393006092430595
2019,2020,US4278661081,0.032145021850918935
2019,2020,US5002551043,0.019508949257221183
